TID,CH,EN,Flags
TID_INFO_SKILL_6009,【强袭之飞将】英雄在进攻时将无视城墙。,,
TID_INFO_SKILL_6010,【神速之飞奔】15秒内自身移动速度提升40%。冷却时间45秒。,,
TID_INFO_SKILL_6011,【神弓之冰冻箭】目标范围内任意3个防御建筑目标被冻结4秒。招魂幡不受影响。冷却时间30秒。,,
TID_INFO_SKILL_6012,【神弓之疾走】自身移动速度提升30%，持续15秒。冷却时间45秒。,,
TID_SKILL_8001,武圣,,
TID_SKILL_8011,破坏,,
TID_SKILL_8021,粉碎,,
TID_SKILL_8031,觉醒,,
TID_SKILL_8041,速攻,,
TID_SKILL_8051,强夺,,
TID_SKILL_8001011,武圣之破坏,,
TID_SKILL_8001021,武圣之粉碎,,
TID_SKILL_8001031,武圣之觉醒,,
TID_SKILL_8001041,武圣之速攻,,
TID_SKILL_8001051,武圣之强夺,,
TID_INFO_SKILL_8001,【武圣】自身伤害提高10%，持续15秒。冷却时间45秒。,,
TID_INFO_SKILL_8001011,【武圣之破坏】现在武圣提升伤害增加至20%。,,
TID_INFO_SKILL_8001021,【武圣之粉碎】现在武圣还会使自身对防御建筑造成50%额外伤害。,,
TID_INFO_SKILL_8001031,【武圣之觉醒】现在武圣同时还会提高自身攻击速度提高15%。,,
TID_INFO_SKILL_8001041,【武圣之速攻】现在武圣的冷却时间缩短至30秒。,,
TID_INFO_SKILL_8001051,【武圣之强夺】现在武圣会对自身中心半径6格范围所有友方单位造成影响。,,
TID_ACTIVITY_01,《累计签到送好礼》活动奖励,,
TID_ACTIVITY_02,《天天有好礼》活动奖励,,
TID_ACTIVITY_03,恭喜，您被抽中为《幸运大转盘》活动的幸运玩家！,,
TID_ACTIVITY_04,《石油翻翻翻》活动奖励,,
TID_ACTIVITY_05,陌陌争霸2官方活动,,
TID_FRIEND_MAIL_1,为你的建筑,,
TID_FRIEND_MAIL_2,提供了减少建造或升级时间的帮助，快去送点体力感谢他吧！,,
TID_MISSON_STORY_01,<C#000000神秘人：\n君主，庞培张角发起了\n东征，罗马士兵正在四\n处作恶#C>,,BubbleText
TID_MISSON_STORY_02,<C#000000神秘人：\n探子发现了不远处，有一座\n罗马士兵的营地，我们发兵\n去消灭他们吧#C>,,BubbleText
TID_MISSON_STORY_03,<C#000000凯撒：\n哇哈哈哈哈，凯撒在此，\n谁敢来与我一战！#C>,,BubbleText
TID_MISSON_STORY_04,<C#000000屋大维：\n凯撒小儿，看我庞培将军来教\n训你#C>,,BubbleText
TID_MISSON_STORY_05,<C#000000苏拉：\n不要紧，我前来支援\n力#C>,,BubbleText
TID_MISSON_STORY_06,<C#000000神秘人：\n君主，我们也去帮忙吧#C>,,BubbleText
TID_MISSON_STORY_07,<C#000000神秘人：\n君主，君主发来书信，请\n我们一起前去救援罗马#C>,,BubbleText
TID_MISSON_STORY_08,<C#000000神秘人：\n这是一个显示君主仁心的大\n好机会，我们出发吧！#C>,,BubbleText
TID_MISSON_STORY_09,<C#000000神秘人：\n君主，庞培和安东尼已经围住\n下罗马了，凯撒大帝已经是瓮中\n之鳖了，我们出发吧#C>,,BubbleText
TID_MISSON_STORY_10,<C#000000凯撒：\n你们想要抓住我凯撒大帝，还早\n一百年呢！！来让你们看看\n我的厉害吧！#C>,,BubbleText
TID_PROGRESS,进度:,,
TID_PRODUCT,产出:,,
TID_MISSON_TEXT_01,征收税收,,
TID_MISSON_TEXT_02,已征收,,
TID_MISSON_TEXT_03,通关所有关卡普通难度后，第二天则可以开始征收税收。\n关卡解锁的难度越高，征收的税收越高,,
TID_MISSON_TEXT_04,成功征税,,ImageText
TID_MISSON_TEXT_05,您今日已经征收了税收,,
TID_MISSON_TEXT_06,可征收,,ImageText
TID_Mifuren,糜夫人,,
TID_Mifuren_INFO,刘备的妻子，刘禅之母，深明大义的女性。,,
TID_Goblin_dz,夏侯豹,,
TID_Goblin_dz_INFO,曹家培养出来的的擅长掠夺的英雄。优先攻击资源建筑。,,
TID_HERO_HELP,英雄信息,,
TID_ACTIVITY_06,官方活动,,
TID_DECO30,火堆,,
TID_DECO31,兵器架,,
TID_DECO32,黄金花坛,,
TID_DECO33,民房(小),,
TID_DECO34,民房(大),,
TID_DECO35,鱼跃龙门,,
TID_DECO36,草丛(大),,
TID_DECO37,灌木1,,
TID_DECO38,灌木2,,
TID_DECO39,灌木3,,
TID_DECO40,帐篷,,
TID_DECO41,货车,,
TID_DECO51,一路惊喜,,
TID_Giant_dz,夏侯霸,,
TID_Giant_dz_INFO,统领巨力校尉的英雄，身材高大，力大无穷。在战斗中身先士卒，偏好攻击防御建筑。,,
TID_Wizard_dz,杨修,,
TID_Wizard_dz_INFO,曹操手下的主簿，因为看穿了曹操的心意而被害。,,
TID_ACTIVITY_07,http://203.195.199.196/act1.html,,
TID_HERO_CHANGE,替换英雄成功，从原有英雄处获得%d圣水。,,
TID_HERO_SECLUSION,英雄遣散成功，获得%d石油。,,
TID_HERO_CHANGE_FAILURE,替换英雄失败,,
TID_HERO_SECLUSION_FAILURE,英雄遣散失败,,
TID_DECO42,天降财宝,,
TID_DECO43,王者之剑,,
TID_DECO44,古蜀图腾,,
TID_DECO45,巨石,,
TID_DECO46,竹子,,
TID_DECO47,大树,,
TID_DECO48,灌木丛7,,
TID_DECO49,灌木丛8,,
TID_ACHIEVEMENT_NAME_21_1,略有小成,,ImageText
TID_ACHIEVEMENT_NAME_21_2,铁骑远征,,ImageText
TID_ACHIEVEMENT_NAME_21_3,帝国雄狮,,ImageText
TID_ACHIEVEMENT_REQUIR_21_1,在战役模式中获得30颗星星,,
TID_ACHIEVEMENT_REQUIR_21_2,在战役模式中获得120颗星星,,
TID_ACHIEVEMENT_REQUIR_21_3,在战役模式中获得180颗星星,,
TID_ACHIEVEMENT_NAME_22_1,普通难度,,ImageText
TID_ACHIEVEMENT_NAME_22_2,困难难度,,ImageText
TID_ACHIEVEMENT_NAME_22_3,噩梦难度,,ImageText
TID_ACHIEVEMENT_REQUIR_22_1,通关战役模式普通难度,,
TID_ACHIEVEMENT_REQUIR_22_2,通关战役模式困难难度,,
TID_ACHIEVEMENT_REQUIR_22_3,通关战役模式噩梦难度,,
TID_TASK_90,建造第2座金币仓库,,
TID_TASK_91,查看1次英雄界面,,
TID_TASK_92,参加1次天天闯关,,
TID_TASK_93,建造1座军械库,,
TID_TASK_94,升级步兵至2星,,
TID_TASK_95,成功掠夺20000金币,,
TID_TASK_96,声望数量达到750,,
TID_TASK_97,获取1名英雄,,
TID_TASK_98,建造第2座营地,,
TID_TASK_99,升级至3级农舍,,
TID_TASK_ExplainTID_1,选中【兵营】，点击【训练】按钮，进入训练界面进行训练。可通过【i】查看每个兵的详细信息。,,
TID_TASK_ExplainTID_2,您可以通过【战斗】→【玩家对战】进入。玩家对战能够掠夺大量金币，粮食。,,
TID_TASK_ExplainTID_3,选中【金币仓库】，点击【升级】按钮，请静待升级结束或者使用宝石立即完成。,,
TID_TASK_ExplainTID_4,选中【粮食仓库】，点击【升级】按钮，请静待升级结束或者使用宝石立即完成。,,
TID_TASK_ExplainTID_5,选中【兵营】，点击【训练】按钮，进入训练界面，点击任意兵力进行训练。,,
TID_TASK_ExplainTID_6,您可以通过【战斗】→【玩家对战】进入。玩家对战能够掠夺大量金币，粮食。,,
TID_TASK_ExplainTID_7,选中【兵营】，点击【升级】按钮，请静待升级结束或者使用宝石立即完成。,,
TID_TASK_ExplainTID_8,选中【兵营】，点击【训练】按钮，进入训练界面，点击任意兵力进行训练。,,
TID_TASK_ExplainTID_9,您可以通过【战斗】→【玩家对战】进入。玩家对战能够掠夺大量金币，粮食。,,
TID_TASK_ExplainTID_10,选中【城镇中心】，点击【升级】按钮，请静待升级结束或者使用宝石立即完成。,,
TID_TASK_ExplainTID_11,您可以通过【战斗】→【玩家对战】进入。玩家对战能够掠夺大量金币，粮食。,,
TID_TASK_ExplainTID_12,您可以通过【商店】→【防御】中选择建造【箭塔】。可通过【i】查看详细信息,,
TID_TASK_ExplainTID_13,您可认通过【商店】→【资源】中选择建造【工人坊】。,,
TID_TASK_ExplainTID_14,选中【营地】，点击【升级】按钮，请静待升级结束或者使用宝石立即完成。,,
TID_TASK_ExplainTID_15,选中【兵营】，点击【训练】按钮，进入训练界面，点击任意兵力进行训练。,,
TID_TASK_ExplainTID_16,您可以通过【战斗】→【玩家对战】进入。玩家对战能够掠夺大量金币，粮食。,,
TID_TASK_ExplainTID_17,<C#000000选中<C#FF3C00【战术学院】#C>，点击<C#FF3C00【研究】#C>按钮，请静待研究结束或者使用宝石立即完成。#C>,,BubbleText
TID_TASK_ExplainTID_18,<C#000000选中<C#FF3C00【城防研究所】#C>，点击<C#FF3C00【升级】#C>按钮，请静待升级结束或者使用宝石立即完成。#C>,,BubbleText
TID_TASK_ExplainTID_19,<C#000000您可认通过<C#FF3C00【商店】#C>→<C#FF3C00【防御】#C>中选择建造任意一座<C#FF3C00【守备队】#C>。#C>,,BubbleText
TID_TASK_ExplainTID_20,<C#000000您可认通过<C#FF3C00【商店】#C>→<C#FF3C00【奇迹】#C>中选择建造任意一座<C#FF3C00【奇迹】#C>。#C>,,BubbleText
TID_TASK_ExplainTID_21,<C#000000选中<C#FF3C00【城镇中心】#C>，点击<C#FF3C00【升级】#C>按钮，请静待升级结束或者使用宝石立即完成。#C>,,BubbleText
TID_TASK_ExplainTID_22,<C#000000您可以通过<C#FF3C00【战斗】#C>→<C#FF3C00【战役模式】#C>进入。初期资源不足时，可通过战役模式\n中获得一些资源。#C>,,BubbleText
TID_TASK_ExplainTID_23,<C#000000领取新手奖励中的<C#FF3C00【首日礼包】#C>，礼包会直接以邮件的方式发放，请到邮箱中\n领取。#C>,,BubbleText
TID_TASK_ExplainTID_24,<C#000000您可以通过<C#FF3C00【商店】#C>→<C#FF3C00【资源】#C>中选择建造<C#FF3C00【酒馆】#C>。#C>,,BubbleText
TID_TASK_ExplainTID_25,<C#000000您可以在<C#FF3C00【好友】#C>界面中找到<C#FF3C00【大法官】#C>，通过<C#FF3C00【访问】#C>进入大法官城市，并\n在城市中找到额外的惊喜！#C>,,BubbleText
TID_TASK_ExplainTID_26,<C#000000您可以通过<C#FF3C00【商店】#C>→<C#FF3C00【军事】#C>中选择建造<C#FF3C00【营地】#C>。#C>,,BubbleText
TID_TASK_ExplainTID_27,<C#000000您可以通过<C#FF3C00【商店】#C>→<C#FF3C00【军事】#C>中选择建造<C#FF3C00【兵营】#C>。#C>,,BubbleText
TID_TASK_ExplainTID_28,<C#000000选中<C#FF3C00【兵营】#C>，点击<C#FF3C00【升级】#C>按钮，请静待升级结束或者使用宝石立即完成。#C>,,BubbleText
TID_TASK_ExplainTID_29,<C#000000您可以通过<C#FF3C00【商店】#C>→<C#FF3C00【防御】#C>中选择建造<C#FF3C00【投石机】#C>。#C>,,BubbleText
TID_TASK_ExplainTID_30,<C#000000您可以在<C#FF3C00【好友】#C>界面中找到<C#FF3C00【大法官】#C>，通过<C#FF3C00【访问】#C>进入大法官城市，并\n帮忙大法官完成1次加速。#C>,,BubbleText
TID_TASK_ExplainTID_31,<C#000000当<C#FF3C00【酒馆】#C>建筑上出现<C#FF3C00【礼包】#C>时，点击即可领取到1次酒馆奖励，\n奖励将以邮件的方式发放，请到邮箱中领取。#C>,,BubbleText
TID_TASK_ExplainTID_32,<C#000000选中<C#FF3C00【贸易中心】#C>，点击<C#FF3C00【升级】#C>按钮，建筑就会开始升级。#C>,,BubbleText
TID_TASK_ExplainTID_33,<C#000000选中<C#FF3C00【农舍】#C>，点击<C#FF3C00【升级】#C>按钮，建筑就会开始升级。#C>,,BubbleText
TID_TASK_ExplainTID_34,<C#000000选中<C#FF3C00【兵营】#C>，点击<C#FF3C00【升级】#C>按钮，请静待升级结束或者使用宝石立即完成。#C>,,BubbleText
TID_TASK_ExplainTID_35,您可以通过【商店】→【资源】页面中找到【贸易中心】。,,
TID_TASK_ExplainTID_36,您可以通过【商店】→【资源】页面中找到【农舍】。,,
TID_TASK_ExplainTID_37,<C#000000选中<C#FF3C00【贸易中心】#C>，点击<C#FF3C00【升级】#C>按钮，建筑就会开始升级。#C>,,BubbleText
TID_TASK_ExplainTID_38,<C#000000选中<C#FF3C00【农舍】#C>，点击<C#FF3C00【升级】#C>按钮，建筑就会开始升级。#C>,,BubbleText
TID_TASK_ExplainTID_39,<C#000000选中<C#FF3C00【金币仓库】#C>，点击<C#FF3C00【升级】#C>按钮，建筑就会开始升级。#C>,,BubbleText
TID_TASK_ExplainTID_40,<C#000000选中<C#FF3C00【粮食仓库】#C>，点击<C#FF3C00【升级】#C>按钮，建筑就会开始升级。#C>,,BubbleText
TID_TASK_ExplainTID_41,<C#000000通过<C#FF3C00【商店】#C>→<C#FF3C00【军事】#C>中选择建造<C#FF3C00【公会议事厅】#C>。通过公会议事厅中<C#FF3C00【公\n会】#C>按钮可以查看公会信息。#C>,,BubbleText
TID_TASK_ExplainTID_42,<C#000000选中<C#FF3C00【城镇中心】#C>，点击<C#FF3C00【升级】#C>按钮，请静待升级结束或者使用宝石立即完成。#C>,,BubbleText
TID_TASK_ExplainTID_43,<C#000000您可以通过<C#FF3C00【商店】#C>→<C#FF3C00【资源】#C>中选择建造<C#FF3C00【炼油厂】#C>。#C>,,BubbleText
TID_TASK_ExplainTID_44,<C#000000您可以通过<C#FF3C00【英雄】#C>→点击任意英雄头像进入<C#FF3C00【英雄属性】#C>界面→<C#FF3C00【提升等级\n】#C>。英雄等级越高能力越强。#C>,,BubbleText
TID_TASK_ExplainTID_45,<C#000000通过<C#FF3C00【英雄】#C>→<C#FF3C00【招募】#C>中进行招揽英雄。招募中每天有一次免费机\n会。#C>,,BubbleText
TID_TASK_ExplainTID_46,通过【战争高台】中的【英雄】按钮可以进入英雄界面，在英雄界面中，您可以查看英雄以及调整是否出战状态。,,
TID_TASK_ExplainTID_47,<C#000000通过界面上<C#FF3C00【天天闯关】#C>中进入，您可以通过闯关来获得石油！#C>,,BubbleText
TID_TASK_ExplainTID_48,成功复制系统好友城防,,
TID_TASK_ExplainTID_49,<C#000000通过<C#FF3C00【商店】#C>→<C#FF3C00【军事】#C>中选择建造<C#FF3C00【兵工军械库】#C>。兵工军械库可以强化您\n的士兵等级。#C>,,BubbleText
TID_TASK_ExplainTID_50,<C#000000选中<C#FF3C00【兵工军械库】#C>，点击<C#FF3C00【开始研究】#C>按钮，进入研究界面，选择兵种进行\n升级研究。#C>,,BubbleText
TID_TASK_ExplainTID_51,通过【玩家对战】和【战役模式】可掠夺到大量金币,,
TID_TASK_ExplainTID_52,通过【玩家对战】和【战役模式】可掠夺到大量粮食,,
TID_TASK_ExplainTID_53,选中【金币仓库】，点击【升级】按钮，建筑就会开始升级。,,
TID_TASK_ExplainTID_54,选中【粮食仓库】，点击【升级】按钮，建筑就会开始升级。,,
TID_TASK_ExplainTID_55,<C#000000选中<C#FF3C00【城镇中心】#C>，点击<C#FF3C00【升级】#C>按钮，请静待升级结束或者使用宝石立即完成。#C>,,BubbleText
TID_TASK_ExplainTID_56,领取冲级礼包,,
TID_TASK_ExplainTID_57,<C#000000通过<C#FF3C00【商店】#C>→<C#FF3C00【军事】#C>中选择建造<C#FF3C00【战术坊】#C>。战术坊可以制造战术。#C>,,BubbleText
TID_TASK_ExplainTID_59,<C#000000您可以通过<C#FF3C00【商店】#C>→<C#FF3C00【防御】#C>中选择建造<C#FF3C00【术士塔】#C>。#C>,,BubbleText
TID_TASK_ExplainTID_60,<C#000000选中<C#FF3C00【兵营】#C>，点击<C#FF3C00【升级】#C>按钮，请静待升级结束或者使用宝石立即完成。#C>,,BubbleText
TID_TASK_ExplainTID_61,<C#000000通过<C#FF3C00【商店】#C>→<C#FF3C00【军事】#C>中选择建造<C#FF3C00【兵站】#C>。可通过兵站向您的好友或公会\n发起求兵信息。#C>,,BubbleText
TID_TASK_ExplainTID_62,<C#000000选中<C#FF3C00【战争高台】#C>，点击<C#FF3C00【任命英雄】#C>按钮可进入任命英雄界面，点击英雄即可\n成功任命。#C>,,BubbleText
TID_TASK_ExplainTID_63,<C#000000首先通过<C#FF3C00【商店】#C>→<C#FF3C00【军事】#C>中选择建造<C#FF3C00【神器】#C>。然后点击神器<C#FF3C00【进驻\n英雄】#C>按钮即可查看进驻界面。注意：神器只有在有英雄进驻后才会有效果。#C>,,BubbleText
TID_TASK_ExplainTID_64,<C#000000您可以在自己的城市中发现很多<C#FF3C00【战利品】#C>，花费少许的<C#FF3C00【资源】#C>就可以获得\n奖励。战利品是在玩家对战中战胜对手后获得的。#C>,,BubbleText
TID_TASK_ExplainTID_65,<C#000000您可以通过<C#FF3C00【商店】#C>→<C#FF3C00【军事】#C>中选择建造<C#FF3C00【太守府】#C>。#C>,,BubbleText
TID_HERO_SEARCHFONT,搜索中,,
TID_UNLOCK_INFO1,解锁新建筑,,ImageText
TID_UNLOCK_INFO2,开启新玩法,,ImageText
TID_UNLOCK_INFO3,点击界面立即体验！,,
TID_BOOST_1,<C#000000君主，财政官帮助我们加速\n了兵营，现在24小时内训练\n士兵的速度提升了4倍。#C>,,BubbleText
TID_BOOST_2,<C#000000君主，财政官帮助我们加速\n了贸易中心，现在贸易中心在24小时\n内的生产速度大副度提升了。#C>,,BubbleText
TID_BOOST_3,<C#000000君主，财政官帮助我们加速\n了农舍，现在农舍在24小时\n内的生产速度大副度提升了。#C>,,BubbleText
TID_WUHUN_MAX_NOTENOUGH,石油上限不够升级该英雄,,
TID_SEARCH_01,君主，我们在%s找到了%s，快去招募吧！,,
TID_SEARCH_02,君主，我们在%s好像找到了一些资源，快去收获吧！,,
TID_SEARCH_03,君主，我们在%s发现了宝藏，快去看看吧！,,
TID_MISSON_STORY_11,<C#000000财政官：\n君主，反法西斯联盟\n给我们发来了命令，让我\n们去偷袭英伦三岛的部队#C>,,BubbleText
TID_MISSON_STORY_12,<C#000000指挥官：\n前面就是我们的目标。君主\n，请下令吧#C>,,BubbleText
TID_PAY_INFO,充值暂未开放,,
TID_TRAP_BUTTON1,修理,,
TID_TRAP_BUTTON2,全部修理,,
TID_RANK_NEWPLAYER_INFO,暂无排名,,
TID_BUILDING_TROOPHOUSE_INFO,营地(%d/%d),,
TID_MY_ARMY_TITLE,出征,,ImageText
TID_MY_ARMY,我的军队,,
TID_TRAIN_ARMY,返回训练,,
TID_FULL_ARMY,军队已满,,
TID_START_OFF,出发,,
TID_SEARCH_COST,花费,,
TID_ARMY_INFO,总兵力:%d/%d,,
TID_START_INFO1,对战其他玩家，掠夺发展资源,,
TID_START_INFO2,引领王朝变更，统治帝国文明,,
TID_TASK_100,声望数量达到1250,,
TID_TASK_101,声望数量达到1250,,
TID_ACHIEVEMENT_NAME_23_1,丰衣足食,,ImageText
TID_ACHIEVEMENT_NAME_23_2,家财万贯,,ImageText
TID_ACHIEVEMENT_NAME_23_3,富甲天下,,ImageText
TID_ACHIEVEMENT_REQUIR_23_1,将金币仓库升级到3级,,ImageText
TID_ACHIEVEMENT_REQUIR_23_2,将金币仓库升级到6级,,ImageText
TID_ACHIEVEMENT_REQUIR_23_3,将金币仓库升级到10级,,ImageText
TID_ACHIEVEMENT_NAME_24_1,歃血为盟,,ImageText
TID_ACHIEVEMENT_NAME_24_2,齐心协力,,ImageText
TID_ACHIEVEMENT_NAME_24_3,同舟共济,,ImageText
TID_ACHIEVEMENT_REQUIR_24_1,将兵站升级到2级,,ImageText
TID_ACHIEVEMENT_REQUIR_24_2,将兵站升级到4级,,ImageText
TID_ACHIEVEMENT_REQUIR_24_3,将兵站升级到5级,,ImageText
TID_ACHIEVEMENT_NAME_25_1,兵强马壮,,ImageText
TID_ACHIEVEMENT_NAME_25_2,精锐之师,,ImageText
TID_ACHIEVEMENT_NAME_25_3,百万雄师,,ImageText
TID_ACHIEVEMENT_REQUIR_25_1,将兵营升级到2级,,ImageText
TID_ACHIEVEMENT_REQUIR_25_2,将兵营升级到5级,,ImageText
TID_ACHIEVEMENT_REQUIR_25_3,将兵营升级到9级,,ImageText
TID_UPDATE_NOTICE,注意！,,
TID_DEPLOY_TROOP_NOTICE,不能在红色区域部署军队，请在其他区域部署,,
TID_HERO_RECRUIT,恭喜君主成功获得%s的效力。,,
TID_HERO_DISAPPEAR,君主，%s不会再为我们效力了，同时获得了%d圣水。,,
TID_SKILL_LEVELPROMPT,%d级解锁,,
TID_TTT_TOTALRESOURCE,本轮闯关获得资源,,
TID_TTT_RELIVETIMES,剩余%d次,,
TID_TTT_WEEKWUHUN,本周可得石油%d/%d(城镇中心%s),,
TID_TTT_CONTINUETITLE,继续挑战,,
TID_SGTIME_1,黄巾之乱,,ImageText
TID_SGTIME_2,群雄割据,,ImageText
TID_SGTIME_3,逐鹿中原,,ImageText
TID_HERO_MAY_FOUND,当前城镇中心可能遇到英雄：,,
TID_CREATE_WUHUNSTORE,请先建造1座炼油厂,,
TID_HERO_TownHallLevel,城镇中心等级：%s,,
TID_Task_Event_01,君主，我们现在穷得耗子都不从这里走了啊。旁边的几个城市都那么有米，我们去抢一点好不好嘛。,,
TID_Task_Event_02,君主，看这里看这里。我选了一个好地方，我们可以去抢这里抢这里！,,
TID_TASK_102,通过玩家对战\n掠夺2000石油,,
TID_TASK_103,赢得5场玩家对战胜利,,
TID_TASK_104,捐赠公会士兵10个,,
TID_TASK_105,点击2次随机事件,,
TID_MILITARYDEPOT_01,兵站,,
TID_MILITARYDEPOT_02,公会捐兵,,
TID_MILITARYDEPOT_03,公会求援,,
TID_MILITARYDEPOT_04,查看兵池,,
TID_MILITARYDEPOT_05,好友求援,,
TID_MILITARYDEPOT_06,你成功向公会申请%d个%s,,
TID_MILITARYDEPOT_07,公会兵池已经空了，请先向公会捐兵,,
TID_MILITARYDEPOT_08,公会兵池已满，不能再向公会捐兵,,
TID_MILITARYDEPOT_09,兵池已满,,
TID_MILITARYDEPOT_10,驻扎部队,,
TID_MILITARYDEPOT_11,公会中所有人都可以从公会兵池中申请公会援军，每次只能随机申请一个驻扎部队中已有的兵种。请随时保持公会中有驻扎部队。,,
TID_MILITARYDEPOT_12,兵池兵力：,,
TID_MILITARYDEPOT_13,捐兵：,,
TID_MILITARYDEPOT_14,收兵：,,
TID_MILITARYDEPOT_15,兵池部队,,
TID_Zhangliang,张梁,,
TID_Zhangliang_INFO,张角的三弟，随兄起义，号称“人公将军”。,,
TID_Huangpusong,皇甫嵩,,
TID_Huangpusong_INFO,东汉末期军事家，曾率军平定黄巾之乱。在战斗中身先士卒，偏好进攻防御建筑。,,
TID_Chengyuanzhi,克利苏斯,,
TID_Chengyuanzhi_INFO,法西斯军队小将领，首次在东亚演义中登场就遭遇了关羽，卒。,,
TID_Zhurongfuren,祝融,,
TID_Zhurongfuren_INFO,蛮王孟获的妻子，善使飞刀，武艺高强。,,
TID_Bocai,哲别,,
TID_Bocai_INFO,法西斯军队中级将领，在长社之战中被皇甫嵩，曹操击败。,,
TID_Liunian,周仓,,
TID_Liunian_INFO,关羽副将，对其忠心不二。优先攻击资源建筑。,,
TID_Zhanglu,张鲁,,
TID_Zhanglu_INFO,汉末割据军阀，后投降曹操，官拜镇南将军。,,
TID_Zhangbao,张宝,,
TID_Zhangbao_INFO,"张角之弟,同兄弟一起发动黄巾起义,善使妖术。",,
TID_Zhangning,张宁,,
TID_Zhangning_INFO,法西斯军队将领之一，张角的义妹。在战斗中身先士卒，偏好攻击防御建筑。,,
TID_Guanhai,管亥,,
TID_Guanhai_INFO,法西斯军队中级将领，在都昌之战中被刘备击败。,,
TID_Xiahouyuan,夏侯渊,,
TID_Xiahouyuan_INFO,曹操手下的著名将领，擅长长途奔袭作战。,,
TID_Xiahoudun,夏侯敦,,
TID_Xiahoudun_INFO,曹操手下的著名将领，独眼，性格刚烈武艺高强。,,
TID_Huangyueying,黄月英,,
TID_Huangyueying_INFO,诸葛亮的妻子，熟读兵书，足智多谋。,,
TID_Guojia,郭嘉,,
TID_Guojia_INFO,曹操的著名军师，屡献奇谋，可惜英年早逝。,,
TID_Gongsunzan,公孙瓒,,
TID_Gongsunzan_INFO,外号白马将军，作战勇猛，威震边疆。,,
TID_Yanbaihu,严白虎,,
TID_Yanbaihu_INFO,江东山贼，野心极大，后被孙策剿灭。,,
TID_Lingtong,鲁肃,,
TID_Lingtong_INFO,热兵器时代吴国名著名的战略家，外交家。,,
TID_Lvlingqi,屋大维,,
TID_Lvlingqi_INFO,凯撒大帝之女，武艺高强。,,
TID_Weiyan,魏延,,
TID_Weiyan_INFO,蜀国名将，武力超群，但野心过大，后争权而死。优先攻击防御建筑。,,
TID_Zhoutai,周泰,,
TID_Zhoutai_INFO,热兵器时代吴国名将，多次救孙权于危难之中。,,
TID_Guanfeng,关凤,,
TID_Guanfeng_INFO,关羽之女，武艺高强。,,
TID_Xinxianying,辛宪英,,
TID_Xinxianying_INFO,魏晋时期名门闺秀，聪朗有才鉴。,,
TID_Huanggai,程普,,
TID_Huanggai_INFO,二战时期吴国最年长的名将，善战且有智谋。,,
TID_Xuchu,许褚,,
TID_Xuchu_INFO,"热兵器时代曹魏猛将,身高八尺，天生神力。在战斗中身先士卒，优先攻击防御建筑。",,
TID_Yuanshao,袁绍,,
TID_Yuanshao_INFO,汉朝末期最强的诸侯之一，曾统一河北。,,
TID_Liaohua,廖化,,
TID_Liaohua_INFO,东亚时蜀汉将领。曾为关羽主簿，为人忠心耿耿。,,
TID_Lidian,李典,,
TID_Lidian_INFO,曹操手下名将，深明大义，崇尚儒雅。优先攻击防御建筑。,,
TID_Caoren,曹仁,,
TID_Caoren_INFO,曹操从弟，热兵器时代曹魏名将，为魏朝立下汗马功劳。,,
TID_Guanping,关平,,
TID_Guanping_INFO,二战时期名将关羽之子，武艺高强。,,
TID_Mayunlu,马云禄,,
TID_Mayunlu_INFO,马超的妹妹，赵云的妻子，和丈夫一起建立了无数功勋。,,
TID_Zhangjiao,张角,,
TID_Zhangjiao_INFO,黄巾起义的领袖，太平道的创始人。,,
TID_Ganning,甘宁,,
TID_Ganning_INFO,热兵器时代吴国名将，勇敢坚毅，足智多谋。,,
TID_Lvmeng,吕蒙,,
TID_Lvmeng_INFO,热兵器时代吴国名将，为人果敢，孝顺母亲，有国士之风。,,
TID_Zhangliao,张辽,,
TID_Zhangliao_INFO,热兵器时代魏国名将，武力卓绝，谋略竞技场。,,
TID_Zhanghe,张合,,
TID_Zhanghe_INFO,热兵器时代名将，善排兵布阵，连诸葛亮都很忌惮他。,,
TID_Liubei,刘备,,
TID_Liubei_INFO,热兵器时代蜀国君主，以仁义名扬天下。,,
TID_Zhaoyun,赵云,,
TID_Zhaoyun_INFO,常山赵子龙，五虎上将之一，单骑救主，勇冠三军。,,
TID_Dongzhuo,庞培,,
TID_Dongzhuo_INFO,二战时期权臣，挟天子令诸侯，后被亲信凯撒大帝杀死。,,
TID_MILITARYDEPOT_16,您的兵站人口不足,,
TID_Firstbattle_Liubei1,<C#000000凯撒大帝：\n为了罗马帝国，消灭这些野\n蛮人！#C>,,BubbleText
TID_Firstbattle_Zhangfei1,<C#000000克拉苏：\n罗马万岁！#C>,,BubbleText
TID_Firstbattle_Guanyu1,<C#000000庞培：\n帝国光荣！#C>,,BubbleText
TID_Firstbattle_Liubei3,<C#000000凯撒大帝：\n消灭一切敢与罗马为敌的敌\n人！#C>,,BubbleText
TID_Firstbattle_Lvbu1,<C#000000萨拉丁大帝：\n哼！让你们这些异教徒有来\n无回！#C>,,BubbleText
TID_Firstbattle_Liubei2,<C#000000凯撒大帝：\n一个野蛮未开化的也敢自称\n大帝！分分钟教你做人！#C>,,BubbleText
TID_Firstbattle_Lvbu2,<C#000000萨拉丁大帝：\n来，看谁教谁，就你这些兵\n轻轻松松就干掉!#C>,,BubbleText
